"Region","region","Tid","Alder","ledige"
"269","11","Rogaland","2009M05","15-29",2.5
"270","11","Rogaland","2009M06","15-29",2.6
"271","11","Rogaland","2009M07","15-29",2.8
"272","11","Rogaland","2009M08","15-29",2.9
"273","11","Rogaland","2009M09","15-29",2.9
"274","11","Rogaland","2009M10","15-29",2.8
"275","11","Rogaland","2009M11","15-29",2.8
"276","11","Rogaland","2009M12","15-29",2.9
"277","11","Rogaland","2010M01","15-29",3.8
"278","11","Rogaland","2010M02","15-29",3.9
"279","11","Rogaland","2010M03","15-29",3.8
"280","11","Rogaland","2010M04","15-29",3.5
"281","11","Rogaland","2010M05","15-29",3
"282","11","Rogaland","2010M06","15-29",2.9
"283","11","Rogaland","2010M07","15-29",2.9
"284","11","Rogaland","2010M08","15-29",3.1
"285","11","Rogaland","2010M09","15-29",3
"286","11","Rogaland","2010M10","15-29",2.9
"287","11","Rogaland","2010M11","15-29",3
"288","11","Rogaland","2010M12","15-29",2.9
"289","11","Rogaland","1999M01","30-74",1.9
"290","11","Rogaland","1999M02","30-74",1.8
"291","11","Rogaland","1999M03","30-74",1.9
"292","11","Rogaland","1999M04","30-74",1.9
"293","11","Rogaland","1999M05","30-74",1.7
"294","11","Rogaland","1999M06","30-74",1.8
"295","11","Rogaland","1999M07","30-74",2.2
"296","11","Rogaland","1999M08","30-74",2.3
"297","11","Rogaland","1999M09","30-74",2.2
"298","11","Rogaland","1999M10","30-74",2.3
"299","11","Rogaland","1999M11","30-74",2.3
"300","11","Rogaland","1999M12","30-74",2.4
"301","11","Rogaland","2000M01","30-74",2.7
"302","11","Rogaland","2000M02","30-74",2.5
"303","11","Rogaland","2000M03","30-74",2.6
"304","11","Rogaland","2000M04","30-74",2.6
"305","11","Rogaland","2000M05","30-74",2.6
"306","11","Rogaland","2000M06","30-74",2.7
"307","11","Rogaland","2000M07","30-74",3
"308","11","Rogaland","2000M08","30-74",2.9
"309","11","Rogaland","2000M09","30-74",2.9
"310","11","Rogaland","2000M10","30-74",2.9
"311","11","Rogaland","2000M11","30-74",3.2
"312","11","Rogaland","2000M12","30-74",3.2
"313","11","Rogaland","2001M01","30-74",3.1
"314","11","Rogaland","2001M02","30-74",2.8
"315","11","Rogaland","2001M03","30-74",2.7
"316","11","Rogaland","2001M04","30-74",2.5
"317","11","Rogaland","2001M05","30-74",2.3
"318","11","Rogaland","2001M06","30-74",2.4
"319","11","Rogaland","2001M07","30-74",2.6
"320","11","Rogaland","2001M08","30-74",2.6
"321","11","Rogaland","2001M09","30-74",2.6
"322","11","Rogaland","2001M10","30-74",2.5
"323","11","Rogaland","2001M11","30-74",2.6
"324","11","Rogaland","2001M12","30-74",2.7
"325","11","Rogaland","2002M01","30-74",3
"326","11","Rogaland","2002M02","30-74",2.8
"327","11","Rogaland","2002M03","30-74",2.7
"328","11","Rogaland","2002M04","30-74",2.7
"329","11","Rogaland","2002M05","30-74",2.6
"330","11","Rogaland","2002M06","30-74",2.6
"331","11","Rogaland","2002M07","30-74",3
"332","11","Rogaland","2002M08","30-74",2.9
"333","11","Rogaland","2002M09","30-74",2.8
"334","11","Rogaland","2002M10","30-74",2.8
"335","11","Rogaland","2002M11","30-74",2.9
"336","11","Rogaland","2002M12","30-74",3
"337","11","Rogaland","2003M01","30-74",3.5
"338","11","Rogaland","2003M02","30-74",3.3
"339","11","Rogaland","2003M03","30-74",3.2
"340","11","Rogaland","2003M04","30-74",3.4
"341","11","Rogaland","2003M05","30-74",3.3
"342","11","Rogaland","2003M06","30-74",3.3
"343","11","Rogaland","2003M07","30-74",3.4
"344","11","Rogaland","2003M08","30-74",3.5
"345","11","Rogaland","2003M09","30-74",3.4
"346","11","Rogaland","2003M10","30-74",3.4
"347","11","Rogaland","2003M11","30-74",3.4
"348","11","Rogaland","2003M12","30-74",3.5
"349","11","Rogaland","2004M01","30-74",3.6
"350","11","Rogaland","2004M02","30-74",3.4
"351","11","Rogaland","2004M03","30-74",3.2
"352","11","Rogaland","2004M04","30-74",3.1
"353","11","Rogaland","2004M05","30-74",3
"354","11","Rogaland","2004M06","30-74",3
"355","11","Rogaland","2004M07","30-74",3.4
"356","11","Rogaland","2004M08","30-74",3.2
"357","11","Rogaland","2004M09","30-74",3.1
"358","11","Rogaland","2004M10","30-74",3.1
"359","11","Rogaland","2004M11","30-74",2.9
"360","11","Rogaland","2004M12","30-74",2.9
"361","11","Rogaland","2005M01","30-74",3.2
"362","11","Rogaland","2005M02","30-74",3.1
"363","11","Rogaland","2005M03","30-74",3
"364","11","Rogaland","2005M04","30-74",2.9
"365","11","Rogaland","2005M05","30-74",2.6
"366","11","Rogaland","2005M06","30-74",2.6
"367","11","Rogaland","2005M07","30-74",3
"368","11","Rogaland","2005M08","30-74",2.9
"369","11","Rogaland","2005M09","30-74",2.6
"370","11","Rogaland","2005M10","30-74",2.5
"371","11","Rogaland","2005M11","30-74",2.2
"372","11","Rogaland","2005M12","30-74",2.2
"373","11","Rogaland","2006M01","30-74",2.2
"374","11","Rogaland","2006M02","30-74",1.9
"375","11","Rogaland","2006M03","30-74",1.9
"376","11","Rogaland","2006M04","30-74",1.8
"377","11","Rogaland","2006M05","30-74",1.6
"378","11","Rogaland","2006M06","30-74",1.6
"379","11","Rogaland","2006M07","30-74",1.7
"380","11","Rogaland","2006M08","30-74",1.7
"381","11","Rogaland","2006M09","30-74",1.5
"382","11","Rogaland","2006M10","30-74",1.4
"383","11","Rogaland","2006M11","30-74",1.3
"384","11","Rogaland","2006M12","30-74",1.2
"385","11","Rogaland","2007M01","30-74",1.3
"386","11","Rogaland","2007M02","30-74",1.2
"387","11","Rogaland","2007M03","30-74",1.2
"388","11","Rogaland","2007M04","30-74",1.1
"389","11","Rogaland","2007M05","30-74",1
"390","11","Rogaland","2007M06","30-74",1
"391","11","Rogaland","2007M07","30-74",1.2
"392","11","Rogaland","2007M08","30-74",1.2
"393","11","Rogaland","2007M09","30-74",1
"394","11","Rogaland","2007M10","30-74",1
"395","11","Rogaland","2007M11","30-74",0.9
"396","11","Rogaland","2007M12","30-74",0.9
"397","11","Rogaland","2008M01","30-74",0.9
"398","11","Rogaland","2008M02","30-74",0.9
"399","11","Rogaland","2008M03","30-74",0.9
"400","11","Rogaland","2008M04","30-74",0.9
"401","11","Rogaland","2008M05","30-74",0.8
"402","11","Rogaland","2008M06","30-74",0.8
"403","11","Rogaland","2008M07","30-74",1
"404","11","Rogaland","2008M08","30-74",1
"405","11","Rogaland","2008M09","30-74",0.9
"406","11","Rogaland","2008M10","30-74",0.9
"407","11","Rogaland","2008M11","30-74",1
"408","11","Rogaland","2008M12","30-74",1.1
"409","11","Rogaland","2009M01","30-74",1.4
"410","11","Rogaland","2009M02","30-74",1.5
"411","11","Rogaland","2009M03","30-74",1.6
"412","11","Rogaland","2009M04","30-74",1.6
"413","11","Rogaland","2009M05","30-74",1.6
"414","11","Rogaland","2009M06","30-74",1.7
"415","11","Rogaland","2009M07","30-74",1.9
"416","11","Rogaland","2009M08","30-74",1.9
"417","11","Rogaland","2009M09","30-74",1.8
"418","11","Rogaland","2009M10","30-74",1.9
"419","11","Rogaland","2009M11","30-74",1.8
"420","11","Rogaland","2009M12","30-74",1.9
"421","11","Rogaland","2010M01","30-74",2.4
"422","11","Rogaland","2010M02","30-74",2.3
"423","11","Rogaland","2010M03","30-74",2.3
"424","11","Rogaland","2010M04","30-74",2.2
"425","11","Rogaland","2010M05","30-74",2
"426","11","Rogaland","2010M06","30-74",1.9
"427","11","Rogaland","2010M07","30-74",2
"428","11","Rogaland","2010M08","30-74",2
"429","11","Rogaland","2010M09","30-74",1.9
"430","11","Rogaland","2010M10","30-74",1.9
"431","11","Rogaland","2010M11","30-74",1.9
"432","11","Rogaland","2010M12","30-74",2
"433","1101","Eigersund","1999M01","15-74",1.5
"434","1101","Eigersund","1999M02","15-74",1.5
"435","1101","Eigersund","1999M03","15-74",1.3
"436","1101","Eigersund","1999M04","15-74",1.8
"437","1101","Eigersund","1999M05","15-74",1.3
"438","1101","Eigersund","1999M06","15-74",1.4
"439","1101","Eigersund","1999M07","15-74",2
"440","1101","Eigersund","1999M08","15-74",2.4
"441","1101","Eigersund","1999M09","15-74",1.9
"442","1101","Eigersund","1999M10","15-74",1.6
"443","1101","Eigersund","1999M11","15-74",1.5
"444","1101","Eigersund","1999M12","15-74",1.6
"445","1101","Eigersund","2000M01","15-74",2.1
"446","1101","Eigersund","2000M02","15-74",1.9
"447","1101","Eigersund","2000M03","15-74",2
"448","1101","Eigersund","2000M04","15-74",2.7
"449","1101","Eigersund","2000M05","15-74",2.6
"450","1101","Eigersund","2000M06","15-74",3.3
"451","1101","Eigersund","2000M07","15-74",4.9
"452","1101","Eigersund","2000M08","15-74",3.7
"453","1101","Eigersund","2000M09","15-74",3.1
"454","1101","Eigersund","2000M10","15-74",2.6
"455","1101","Eigersund","2000M11","15-74",2.6
"456","1101","Eigersund","2000M12","15-74",3
"457","1101","Eigersund","2001M01","15-74",2.8
"458","1101","Eigersund","2001M02","15-74",2.6
"459","1101","Eigersund","2001M03","15-74",2.6
"460","1101","Eigersund","2001M04","15-74",2.7
"461","1101","Eigersund","2001M05","15-74",2.3
"462","1101","Eigersund","2001M06","15-74",2.1
"463","1101","Eigersund","2001M07","15-74",2.7
"464","1101","Eigersund","2001M08","15-74",2.6
"465","1101","Eigersund","2001M09","15-74",2.2
"466","1101","Eigersund","2001M10","15-74",2
"467","1101","Eigersund","2001M11","15-74",2
"468","1101","Eigersund","2001M12","15-74",2.1
"469","1101","Eigersund","2002M01","15-74",2.3
"470","1101","Eigersund","2002M02","15-74",2.2
"471","1101","Eigersund","2002M03","15-74",2.1
"472","1101","Eigersund","2002M04","15-74",2.3
"473","1101","Eigersund","2002M05","15-74",2
"474","1101","Eigersund","2002M06","15-74",1.7
"475","1101","Eigersund","2002M07","15-74",2.4
"476","1101","Eigersund","2002M08","15-74",2.4
"477","1101","Eigersund","2002M09","15-74",2.1
"478","1101","Eigersund","2002M10","15-74",2.1
"479","1101","Eigersund","2002M11","15-74",3
"480","1101","Eigersund","2002M12","15-74",2.9
