"10540: Registrerte arbeidsledige (prosent), etter region, alder, måned og statistikkvariabel"

"region";"alder";"måned";"Registrert helt arbeidsledige"
"1111 Sokndal";"15-74 år";"2000M05";2.4
"1111 Sokndal";"15-74 år";"2000M06";3.7
"1111 Sokndal";"15-74 år";"2000M07";4.4
"1111 Sokndal";"15-74 år";"2000M08";4.4
"1111 Sokndal";"15-74 år";"2000M09";4.4
"1111 Sokndal";"15-74 år";"2000M10";4.3
"1111 Sokndal";"15-74 år";"2000M11";4.4
"1111 Sokndal";"15-74 år";"2000M12";4.5
"1111 Sokndal";"15-74 år";"2001M01";4.3
"1111 Sokndal";"15-74 år";"2001M02";4.1
"1111 Sokndal";"15-74 år";"2001M03";3.9
"1111 Sokndal";"15-74 år";"2001M04";3.7
"1111 Sokndal";"15-74 år";"2001M05";3.5
"1111 Sokndal";"15-74 år";"2001M06";3.3
"1111 Sokndal";"15-74 år";"2001M07";3.0
"1111 Sokndal";"15-74 år";"2001M08";3.2
"1111 Sokndal";"15-74 år";"2001M09";3.4
"1111 Sokndal";"15-74 år";"2001M10";2.8
"1111 Sokndal";"15-74 år";"2001M11";3.3
"1111 Sokndal";"15-74 år";"2001M12";3.9
"1111 Sokndal";"15-74 år";"2002M01";4.5
"1111 Sokndal";"15-74 år";"2002M02";4.2
"1111 Sokndal";"15-74 år";"2002M03";3.7
"1111 Sokndal";"15-74 år";"2002M04";3.0
"1111 Sokndal";"15-74 år";"2002M05";2.7
"1111 Sokndal";"15-74 år";"2002M06";2.7
"1111 Sokndal";"15-74 år";"2002M07";3.7
"1111 Sokndal";"15-74 år";"2002M08";3.4
"1111 Sokndal";"15-74 år";"2002M09";3.0
"1111 Sokndal";"15-74 år";"2002M10";3.4
"1111 Sokndal";"15-74 år";"2002M11";3.9
"1111 Sokndal";"15-74 år";"2002M12";4.1
"1112 Lund";"15-74 år";"1999M01";1.0
"1112 Lund";"15-74 år";"1999M02";1.2
"1112 Lund";"15-74 år";"1999M03";0.8
"1112 Lund";"15-74 år";"1999M04";0.8
"1112 Lund";"15-74 år";"1999M05";0.8
"1112 Lund";"15-74 år";"1999M06";0.9
"1112 Lund";"15-74 år";"1999M07";1.6
"1112 Lund";"15-74 år";"1999M08";1.3
"1112 Lund";"15-74 år";"1999M09";0.9
"1112 Lund";"15-74 år";"1999M10";0.8
"1112 Lund";"15-74 år";"1999M11";1.1
"1112 Lund";"15-74 år";"1999M12";0.9
"1112 Lund";"15-74 år";"2000M01";1.6
"1112 Lund";"15-74 år";"2000M02";1.8
"1112 Lund";"15-74 år";"2000M03";1.6
"1112 Lund";"15-74 år";"2000M04";1.6
"1112 Lund";"15-74 år";"2000M05";1.6
"1112 Lund";"15-74 år";"2000M06";2.0
"1112 Lund";"15-74 år";"2000M07";2.3
"1112 Lund";"15-74 år";"2000M08";1.9
"1112 Lund";"15-74 år";"2000M09";1.5
"1112 Lund";"15-74 år";"2000M10";1.4
"1112 Lund";"15-74 år";"2000M11";1.6
"1112 Lund";"15-74 år";"2000M12";1.8
"1112 Lund";"15-74 år";"2001M01";2.1
"1112 Lund";"15-74 år";"2001M02";1.7
"1112 Lund";"15-74 år";"2001M03";1.5
"1112 Lund";"15-74 år";"2001M04";1.1
"1112 Lund";"15-74 år";"2001M05";1.3
"1112 Lund";"15-74 år";"2001M06";1.5
"1112 Lund";"15-74 år";"2001M07";2.0
"1112 Lund";"15-74 år";"2001M08";1.6
"1112 Lund";"15-74 år";"2001M09";1.8
"1112 Lund";"15-74 år";"2001M10";1.5
"1112 Lund";"15-74 år";"2001M11";2.1
"1112 Lund";"15-74 år";"2001M12";1.9
"1112 Lund";"15-74 år";"2002M01";2.1
"1112 Lund";"15-74 år";"2002M02";1.5
"1112 Lund";"15-74 år";"2002M03";1.7
"1112 Lund";"15-74 år";"2002M04";1.4
"1112 Lund";"15-74 år";"2002M05";1.2
"1112 Lund";"15-74 år";"2002M06";1.1
"1112 Lund";"15-74 år";"2002M07";1.8
"1112 Lund";"15-74 år";"2002M08";1.8
"1112 Lund";"15-74 år";"2002M09";1.8
"1112 Lund";"15-74 år";"2002M10";1.6
"1112 Lund";"15-74 år";"2002M11";1.8
"1112 Lund";"15-74 år";"2002M12";1.5
